lakecode,ManuscriptName,lake,latitude,longitude,continent,country,elevation,surface_area,mean_depth,max_depth,shoreline,contributor,alternate_lakenames,surface_area_source,mean_depth_source,max_depth_source,shoreline_source,elevation_google
xKB0290,Christmas Lake,christmas,44.89707,-93.54321,North America,United States of America,NA,1.08119863,NA,26.5176,6.11551,MN climatologist,Christmas (MN27013700),MN Lake Finder     https://www.dnr.state.mn.us/lakefind/lake.html?id=27013700,,MN Lake Finder     https://www.dnr.state.mn.us/lakefind/lake.html?id=27013700,MN Lake Finder     https://www.dnr.state.mn.us/lakefind/lake.html?id=27013700,285.7
xKB0309,Clear Lake,clear,44.08707,-93.48469,North America,United States of America,NA,2.62547904,NA,10.3632,7.06502,MN climatologist,Clear (MN81001401),MN Lake Finder    https://www.dnr.state.mn.us/lakefind/lake.html?id=81001401,,MN Lake Finder    https://www.dnr.state.mn.us/lakefind/lake.html?id=81001401,MN Lake Finder    https://www.dnr.state.mn.us/lakefind/lake.html?id=81001401,344.5
xKB1618,Shields Lake,shields,44.36998,-93.44184,North America,United States of America,NA,3.806028,NA,12.8016,14.468,MN climatologist,Shields (MN66005500),MN Lake Finder    https://www.dnr.state.mn.us/lakefind/lake.html?id=66005500,,MN Lake Finder    https://www.dnr.state.mn.us/lakefind/lake.html?id=66005500,MN Lake Finder    https://www.dnr.state.mn.us/lakefind/lake.html?id=66005500,336.7
xKB1978,Wilson Lake,wilson,44.600448,-70.2536112,North America,United States of America,174,2,12,27,11,Julia Daly,Wilson Lake,LSM,LSM,LSM,LSM,174
xMR001,Mohonk Lake,mohonk,41.7678,-74.1556,North America,United States of America,380,0.069,6.5,18,NA,Mohonk Preserve Daniel Smiley Research Center,Mohonk Lake,,,,,383
xNL001,Lake Atnsj¯en,atnsj¯en,61.852,10.226,Europe,Norway,NA,5,NA,NA,19.38,Leif Asbj¯rn V¯llestad et al. 2021 - Dryad,Atnsj¯en Lake,Norwegian Water Resources and Energy Directorate,,,Norwegian Water Resources and Energy Directorate,701
xNL002,Lake Aursunden,aursunden,62.68,11.462,Europe,Norway,NA,46.04,NA,52,102.98,Leif Asbj¯rn V¯llestad et al. 2021 - Dryad,Aursunden Lake,Norwegian Water Resources and Energy Directorate,,Norwegian Water Resources and Energy Directorate,,690
xNL082,Lake Tesse,tesse,61.814,8.941,Europe,Norway,NA,12.78,NA,NA,24.14,Leif Asbj¯rn V¯llestad et al. 2021 - Dryad,Tesse Lake,Norwegian Water Resources and Energy Directorate,,,Norwegian Water Resources and Energy Directorate,856
xNL084,Lake Tunhovfjorden,tunhovdfjorden,60.426,8.833,Europe,Norway,NA,25.3,NA,NA,NA,Leif Asbj¯rn V¯llestad et al. 2021 - Dryad,Tunhovdfjorden Lake,Norwegian Water Resources and Energy Directorate,,,,734
xTAK01,Lake Balaton,balaton,46.9073,18.0448,Europe,Hungary,104,596,3,11.2,195,Takacs,Lake Balaton,LIAG,LIAG,LIAG,LIAG,104.9
